time, amplitude, pitch, formant1, formant2, formant3, formant4, bandwidth1, bandwidth2, bandwidth3, bandwidth4
0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1
0.01, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1
0.02, -1, 102.11570822908217, -1, -1, -1, -1, -1, -1, -1, -1
0.03, -1, 101.9623808523282, 548.7139068724285, 1411.5525389742136, 2337.6619388984095, 3261.755519649247, 143.49212479709567, 26.079111329171628, 82.52467900972462, 43.195312019017535
0.04, 72.91607990755533, 101.68138266840003, 547.9913590499493, 1412.1728431811723, 2337.8735284432787, 3262.5579427016883, 142.95513641114488, 26.447113551918882, 77.59425961043135, 43.1082786565081
0.05, 73.4047131475896, 101.40592314129239, 547.2381151019026, 1411.5967297532834, 2333.1731669963638, 3259.882312880148, 131.90323885207923, 24.273546368849498, 72.3570635480846, 38.70364549396143
0.060000000000000005, 73.91198991510971, 101.13012316705061, 546.0011963460169, 1412.5020018389503, 2326.1878323451733, 3256.750385180384, 128.07651748274714, 24.436711513997256, 69.27494889452707, 37.389837124355964
0.07, 73.9746501774519, 100.85105270916559, 543.8731139461734, 1414.3535817774002, 2308.9377000190393, 3251.477591993941, 127.94449272262618, 25.05630520368764, 80.67455442907307, 37.40096321239173
0.08, 73.74713327504799, 100.56380190953735, 542.2295288993913, 1416.5167650927178, 2285.0590837062905, 3249.476135202917, 140.30232909778894, 28.39754123531994, 105.96644102649742, 39.980596316044355
0.09, 73.45275379373044, 100.27411584801577, 540.12977325888, 1418.5323475396183, 2253.433596818933, 3244.5855787021615, 141.06580223526734, 30.43740118653172, 108.8098579734467, 39.957259718919545
0.09999999999999999, 73.158742729492, 99.99285730902598, 537.16343139213, 1420.687119015183, 2227.659248208263, 3238.8811660698602, 132.70866774043586, 29.787771053387825, 108.7515533568034, 36.68953480821691
0.10999999999999999, 72.89497638466965, 99.70935703079645, 535.7567647767781, 1423.5694803481128, 2208.844384215959, 3234.1069027600847, 133.34201060837083, 31.277758563584747, 113.66946414129117, 37.76055441875952
0.11999999999999998, 72.66979401505881, 99.4171867943493, 533.4814317125574, 1427.4314631776715, 2189.324803447978, 3228.2318567625475, 132.06121507639878, 32.27500107978454, 135.85544237547887, 39.494361031632174
0.12999999999999998, 72.51555424689762, 99.12951175977769, 531.8338270366577, 1429.6375393947462, 2170.295012895401, 3222.461310941135, 123.58650890877983, 31.080615623107946, 148.08864393991135, 36.85252423993421
0.13999999999999999, 72.38971219813314, 98.84768579038936, 530.3981501265807, 1433.604514822672, 2147.3588374617957, 3218.1613026385085, 124.7326242332188, 33.25479422956345, 175.2410183707149, 38.70210239930847
0.15, 72.27338520895307, 98.56371432259212, 528.929573502108, 1436.7522580300656, 2126.0457675849702, 3216.0508920147377, 129.28332014274028, 35.983334572205266, 198.77789736290387, 39.69810760652586
0.16, 72.16540078924788, 98.27635472588895, 526.7215689709669, 1439.3410997155029, 2102.437095312727, 3212.1798219053894, 124.14593661253373, 37.22915813717363, 195.90774694804693, 38.77577451557835
0.17, 72.03590226819365, 97.98481376264746, 524.6223938278215, 1442.7021718390558, 2085.1308356550126, 3209.173797991208, 121.10632414381696, 38.80101842629314, 207.699427668397, 39.24106274547357
0.18000000000000002, 71.92209967218959, 97.69506775634034, 522.738902377213, 1445.89856934721, 2071.703984691847, 3205.9201168146487, 122.4791951266077, 41.01649401348704, 239.77961183521808, 41.18088745869585
0.19000000000000003, 71.76079387864836, 97.41353868742205, 521.8891815214325, 1447.908255836368, 2063.3250455519924, 3202.288027831978, 123.27104526038883, 42.840842120873894, 252.88562571065458, 43.524367666595516
0.20000000000000004, 71.59281188893826, 97.12886617721742, 520.3014919172979, 1447.5566130557706, 2057.712291498303, 3201.417031652052, 123.93638644314083, 42.85894256916, 277.64276122584454, 42.70646754460676
0.21000000000000005, 71.39237030808793, 96.83718847432459, 520.220063553613, 1447.1415861032474, 2053.5412958287975, 3201.692219054892, 122.05736424458811, 41.951260832595686, 279.36704996953625, 41.14551972446835
0.22000000000000006, 71.20356953418504, 96.54796212400838, 519.9324399586224, 1446.358114050233, 2051.13792073917, 3202.002955602753, 124.93995245966698, 43.008837046502805, 291.34400692125047, 42.589260124615826
0.23000000000000007, 71.01667276631285, 96.26644485753424, 518.8547198899404, 1445.5247900814202, 2047.0882826225343, 3202.8428570673477, 126.16650014593704, 42.72633321880742, 312.0985012966846, 41.73014204001828
0.24000000000000007, 70.89795433820156, 95.99017159725626, 518.2481828868933, 1444.5926478641315, 2040.6319544426754, 3201.760455705351, 123.77600945867192, 42.04066492764787, 303.0604444283175, 40.83989975176773
0.25000000000000006, -1, 95.75819827927315, 517.3136932912765, 1443.9750017705958, 2036.5260868275254, 3200.163282158758, 122.85611236584427, 42.167274485235566, 316.12545957804997, 40.07539191319522
0.26000000000000006, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1
0.2700000000000001, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1
