time, amplitude, pitch, formant1, formant2, formant3, formant4, bandwidth1, bandwidth2, bandwidth3, bandwidth4
0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1
0.01, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1
0.02, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1
0.03, -1, -1, 1001.1739979727599, 2161.408723894006, 2949.2340399711866, 3940.4569295121632, 66.34707432161633, 1198.3543123602522, 299.15729163443797, 624.818507606849
0.04, 754.6693248371586, -1, 997.976334791001, 1764.5890990165153, 2837.9236636591936, 3874.8558528237754, 174.58055822121833, 1448.8596531112812, 271.5295829273858, 428.3213113002264
0.05, 856.1086914787027, -1, 973.3749644107146, 1915.4637188849968, 2966.070453315852, 3808.8234976416306, 170.9773809199951, 1534.7202737962575, 441.9982352206875, 449.179602851291
0.060000000000000005, 1230.873936598372, -1, 993.8394387030655, 2265.9887840019464, 3011.2081586231925, 4190.121092696232, 115.7075477213658, 1733.410799141899, 417.823884215926, 836.9504405480545
0.07, 2016.3862809520967, -1, 930.3352235826858, 1413.5079311896377, 2876.8572261139534, 3755.1825851764106, 284.5951840556004, 609.3616155468494, 183.6632871881319, 440.27394719965434
0.08, 3076.4066540061435, 103.28505638991201, 860.4520943346288, 1322.2607486821234, 2770.1563108632063, 3518.980656775385, 100.5158558334318, 72.64737797842, 396.4671088604617, 239.1218922331692
0.09, 4162.560618394005, 103.12553852611111, 849.3518956852915, 1311.5121202152984, 2561.5121167694733, 3385.8493274824655, 44.94882680270972, 35.91169462747199, 315.07233255937615, 109.25927776971415
0.09999999999999999, 5291.277930530415, 102.87903388822127, 848.5775257630423, 1310.0086389425373, 2537.9134752485393, 3375.8062014604043, 38.4760295313404, 31.20576914800146, 275.92482251205337, 92.2988250955377
0.10999999999999999, 6520.087306989717, 102.62417673560086, 845.5579279872383, 1307.9942278373521, 2534.2007452329626, 3372.5015589488376, 39.60918981830018, 29.972280955162336, 268.9760044888737, 88.8018271021889
0.11999999999999998, 7696.624538434983, 102.37080703946653, 847.9722810824196, 1307.5046756121312, 2541.401706748517, 3369.8229324182093, 34.43557879625913, 29.170701083259136, 250.28747801948077, 89.80078089744475
0.12999999999999998, 8468.958907856133, 102.12266761431617, 844.0476812576366, 1306.0856827098075, 2543.780893854824, 3366.774944890528, 38.90978000551392, 28.942431574580553, 248.40789862201737, 90.9103145139159
0.13999999999999999, 8631.750450552749, 101.86923881985689, 842.3423094685027, 1304.9963277251754, 2550.6780801917444, 3362.3221434446446, 36.20526538434332, 27.940447051507515, 231.28546917054948, 87.7375514761069
0.15, 8491.610003733667, 101.61159392427938, 838.3188396439305, 1302.3700586250775, 2557.5419619388435, 3355.68149631817, 35.54872903817653, 28.034793374150997, 222.72775346582458, 89.17288707890951
0.16, 8272.430945274273, 101.35771685321174, 833.1910860880238, 1300.4992243839565, 2555.4388090126217, 3351.2950149422986, 37.933365404359115, 27.592419643232258, 222.37332995084623, 87.21640400586078
0.17, 8058.811664147905, 101.10312405274946, 832.7165016926796, 1298.863816794119, 2562.0842146782443, 3344.56877486894, 32.63254782906008, 27.387097381540954, 206.55107225043233, 88.13362971494321
0.18000000000000002, 7851.598772930811, 100.84994044314732, 825.0818219801216, 1296.7155791130774, 2555.6842766929212, 3339.2202976225253, 38.02949605377967, 27.432981502503694, 224.20954156668375, 87.15822625681889
0.19000000000000003, 7651.586201090178, 100.59102870328044, 824.5711782785246, 1295.430560939528, 2558.646689710053, 3334.397353701332, 33.905289704013114, 27.484917235509286, 217.4200528148929, 87.86211237242983
0.20000000000000004, 7440.875638659034, 100.32866841759167, 819.6583390993349, 1292.9614487127926, 2554.192205819748, 3326.85381951695, 35.89205276229231, 27.630990226481845, 230.2652242461027, 87.12586484894747
0.21000000000000005, 7230.535162381978, 100.07058495717895, 814.9509283006768, 1291.6574921172592, 2552.378297026478, 3322.316039499884, 37.6545122772105, 27.99688083937923, 250.90531451688958, 86.41767563200888
0.22000000000000006, 6977.001573968485, 99.81508975195493, 814.9591488066911, 1290.0554860836992, 2554.3851836676713, 3315.8902659132673, 34.06035249719644, 28.371340645191154, 257.8544844296358, 86.67605843222157
0.23000000000000007, 6614.246163347657, 99.55907350766151, 800.9992792490475, 1278.6041890683966, 2560.2924295768617, 3303.4437608225817, 39.646051963026785, 28.229968629479256, 278.0398563289057, 88.10683160886722
0.24000000000000007, 6120.859727108448, 99.30938973056841, 787.3603956952334, 1253.6369714562265, 2576.9047181725127, 3281.7648212605122, 38.132757195912504, 28.009305657847797, 260.42147279182603, 92.12567668834984
0.25000000000000006, 5524.318721031444, 99.05664837047178, 754.4395168515946, 1198.9763424067296, 2602.8194955368845, 3237.2807570349823, 40.59396265069403, 28.282491022008145, 234.7739091587289, 104.0392478610879
0.26000000000000006, 4917.419149760974, 98.79532168002052, 724.6899416549187, 1160.598106701062, 2616.8792613749893, 3203.800197126274, 41.34325646259466, 25.94916395191909, 204.27848328041745, 108.58307631259281
0.2700000000000001, 4310.2675294348155, 98.53933980776578, 702.0641849999688, 1113.9836782285956, 2636.7667808882347, 3168.2703770413077, 45.44686651398731, 28.433388968834905, 181.1119172804689, 138.86628727398076
0.2800000000000001, 3808.7698006681962, 98.27778191054065, 670.501057209407, 1070.7430011604465, 2652.2958861098346, 3140.122266512215, 49.79923301960128, 28.966913753632046, 162.11903624222438, 172.0569986826352
